DATE_OPERATION;COMPTE;MONTANT;SENS
2026-08-01;CPT00001;31,70;DEBIT
2026-08-01;CPT00002;63,40;CREDIT
2026-08-01;CPT00003;95,10;DEBIT
2026-08-01;CPT00004;126,80;CREDIT
2026-08-01;CPT00005;158,50;DEBIT
2026-08-01;CPT00006;190,20;CREDIT
2026-08-01;CPT00007;221,90;DEBIT
2026-08-01;CPT00008;253,60;CREDIT
2026-08-01;CPT00009;285,30;DEBIT
2026-08-01;CPT00010;317,00;CREDIT
2026-08-01;CPT00011;348,70;DEBIT
2026-08-01;CPT00012;380,40;CREDIT
2026-08-01;CPT00013;412,10;DEBIT
2026-08-01;CPT00014;443,80;CREDIT
2026-08-01;CPT00015;475,50;DEBIT
2026-08-01;CPT00016;507,20;CREDIT
2026-08-01;CPT00017;538,90;DEBIT
2026-08-01;CPT00018;570,60;CREDIT
2026-08-01;CPT00019;602,30;DEBIT
2026-08-01;CPT00020;634,00;CREDIT
2026-08-01;CPT00021;665,70;DEBIT
2026-08-01;CPT00022;697,40;CREDIT
2026-08-01;CPT00023;729,10;DEBIT
2026-08-01;CPT00024;760,80;CREDIT
2026-08-01;CPT00025;792,50;DEBIT
2026-08-01;CPT00026;824,20;CREDIT
2026-08-01;CPT00027;855,90;DEBIT
2026-08-01;CPT00028;887,60;CREDIT
2026-08-01;CPT00029;919,30;DEBIT
2026-08-01;CPT00030;951,00;CREDIT
2026-08-01;CPT00031;982,70;DEBIT
2026-08-01;CPT00032;1 014,40;CREDIT
2026-08-01;CPT00033;1 046,10;DEBIT
2026-08-01;CPT00034;1 077,80;CREDIT
2026-08-01;CPT00035;1 109,50;DEBIT
2026-08-01;CPT00036;1 141,20;CREDIT
2026-08-01;CPT00037;1 172,90;DEBIT
2026-08-01;CPT00038;1 204,60;CREDIT
2026-08-01;CPT00039;1 236,30;DEBIT
2026-08-01;CPT00040;1 268,00;CREDIT
2026-08-01;CPT00041;1 299,70;DEBIT
2026-08-01;CPT00042;1 331,40;CREDIT
2026-08-01;CPT00043;1 363,10;DEBIT
2026-08-01;CPT00044;1 394,80;CREDIT
2026-08-01;CPT00045;1 426,50;DEBIT
2026-08-01;CPT00046;1 458,20;CREDIT
2026-08-01;CPT00047;1 489,90;DEBIT
2026-08-01;CPT00048;1 521,60;CREDIT
2026-08-01;CPT00049;1 553,30;DEBIT
2026-08-01;CPT00050;1 585,00;CREDIT
