DATE_OPERATION;COMPTE;MONTANT;SENS
2026-08-02;CPT00002;63,40;DEBIT
2026-08-02;CPT00004;126,80;CREDIT
2026-08-02;CPT00006;190,20;DEBIT
2026-08-02;CPT00008;253,60;CREDIT
2026-08-02;CPT00010;317,00;DEBIT
2026-08-02;CPT00012;380,40;CREDIT
2026-08-02;CPT00014;443,80;DEBIT
2026-08-02;CPT00016;507,20;CREDIT
2026-08-02;CPT00018;570,60;DEBIT
2026-08-02;CPT00020;634,00;CREDIT
2026-08-02;CPT00022;697,40;DEBIT
2026-08-02;CPT00024;760,80;CREDIT
2026-08-02;CPT00026;824,20;DEBIT
2026-08-02;CPT00028;887,60;CREDIT
2026-08-02;CPT00030;951,00;DEBIT
2026-08-02;CPT00032;1 014,40;CREDIT
2026-08-02;CPT00034;1 077,80;DEBIT
2026-08-02;CPT00036;1 141,20;CREDIT
2026-08-02;CPT00038;1 204,60;DEBIT
2026-08-02;CPT00040;1 268,00;CREDIT
2026-08-02;CPT00042;1 331,40;DEBIT
2026-08-02;CPT00044;1 394,80;CREDIT
2026-08-02;CPT00046;1 458,20;DEBIT
2026-08-02;CPT00048;1 521,60;CREDIT
2026-08-02;CPT00050;1 585,00;DEBIT
2026-08-02;CPT00052;1 648,40;CREDIT
2026-08-02;CPT00054;1 711,80;DEBIT
2026-08-02;CPT00056;1 775,20;CREDIT
2026-08-02;CPT00058;1 838,60;DEBIT
2026-08-02;CPT00060;1 902,00;CREDIT
2026-08-02;CPT00062;1 965,40;DEBIT
2026-08-02;CPT00064;2 028,80;CREDIT
2026-08-02;CPT00066;2 092,20;DEBIT
2026-08-02;CPT00068;2 155,60;CREDIT
2026-08-02;CPT00070;2 219,00;DEBIT
2026-08-02;CPT00072;2 282,40;CREDIT
2026-08-02;CPT00074;2 345,80;DEBIT
2026-08-02;CPT00076;2 409,20;CREDIT
2026-08-02;CPT00078;2 472,60;DEBIT
2026-08-02;CPT00080;2 536,00;CREDIT
2026-08-02;CPT00082;2 599,40;DEBIT
2026-08-02;CPT00084;2 662,80;CREDIT
2026-08-02;CPT00086;2 726,20;DEBIT
2026-08-02;CPT00088;2 789,60;CREDIT
2026-08-02;CPT00090;2 853,00;DEBIT
2026-08-02;CPT00092;2 916,40;CREDIT
2026-08-02;CPT00094;2 979,80;DEBIT
2026-08-02;CPT00096;3 043,20;CREDIT
2026-08-02;CPT00098;3 106,60;DEBIT
2026-08-02;CPT00100;3 170,00;CREDIT
