DATE_OPERATION;COMPTE;MONTANT;SENS
2026-08-04;CPT00004;126,80;DEBIT
2026-08-04;CPT00008;253,60;CREDIT
2026-08-04;CPT00012;380,40;DEBIT
2026-08-04;CPT00016;507,20;CREDIT
2026-08-04;CPT00020;634,00;DEBIT
2026-08-04;CPT00024;760,80;CREDIT
2026-08-04;CPT00028;887,60;DEBIT
2026-08-04;CPT00032;1 014,40;CREDIT
2026-08-04;CPT00036;1 141,20;DEBIT
2026-08-04;CPT00040;1 268,00;CREDIT
2026-08-04;CPT00044;1 394,80;DEBIT
2026-08-04;CPT00048;1 521,60;CREDIT
2026-08-04;CPT00052;1 648,40;DEBIT
2026-08-04;CPT00056;1 775,20;CREDIT
2026-08-04;CPT00060;1 902,00;DEBIT
2026-08-04;CPT00064;2 028,80;CREDIT
2026-08-04;CPT00068;2 155,60;DEBIT
2026-08-04;CPT00072;2 282,40;CREDIT
2026-08-04;CPT00076;2 409,20;DEBIT
2026-08-04;CPT00080;2 536,00;CREDIT
2026-08-04;CPT00084;2 662,80;DEBIT
2026-08-04;CPT00088;2 789,60;CREDIT
2026-08-04;CPT00092;2 916,40;DEBIT
2026-08-04;CPT00096;3 043,20;CREDIT
2026-08-04;CPT00100;3 170,00;DEBIT
2026-08-04;CPT00104;3 296,80;CREDIT
2026-08-04;CPT00108;3 423,60;DEBIT
2026-08-04;CPT00112;3 550,40;CREDIT
2026-08-04;CPT00116;3 677,20;DEBIT
2026-08-04;CPT00120;3 804,00;CREDIT
2026-08-04;CPT00124;3 930,80;DEBIT
2026-08-04;CPT00128;4 057,60;CREDIT
2026-08-04;CPT00132;4 184,40;DEBIT
2026-08-04;CPT00136;4 311,20;CREDIT
2026-08-04;CPT00140;4 438,00;DEBIT
2026-08-04;CPT00144;4 564,80;CREDIT
2026-08-04;CPT00148;4 691,60;DEBIT
2026-08-04;CPT00152;4 818,40;CREDIT
2026-08-04;CPT00156;4 945,20;DEBIT
2026-08-04;CPT00160;5 072,00;CREDIT
2026-08-04;CPT00164;5 198,80;DEBIT
2026-08-04;CPT00168;5 325,60;CREDIT
2026-08-04;CPT00172;5 452,40;DEBIT
2026-08-04;CPT00176;5 579,20;CREDIT
2026-08-04;CPT00180;5 706,00;DEBIT
2026-08-04;CPT00184;5 832,80;CREDIT
2026-08-04;CPT00188;5 959,60;DEBIT
2026-08-04;CPT00192;6 086,40;CREDIT
2026-08-04;CPT00196;6 213,20;DEBIT
2026-08-04;CPT00200;6 340,00;CREDIT
